Open,High,Low,Close,Adj Close,Volume
709.0,716.9000244140625,693.5999755859375,701.7000122070312,685.0947875976562,547270
708.7000122070312,712.7999877929688,674.7000122070312,681.2999877929688,665.1776123046875,618866
687.0999755859375,692.7999877929688,669.2999877929688,670.9000244140625,655.0237426757812,655169
650.7000122070312,660.7000122070312,636.7000122070312,658.5,642.9171142578125,975136
675.0,678.5,655.5,664.9000244140625,649.165771484375,964639
667.5,669.7999877929688,621.0999755859375,622.2999877929688,607.57373046875,1321972
643.5,645.2000122070312,618.5999755859375,627.0,612.1625366210938,1384772
640.9000244140625,656.0,633.0999755859375,646.2999877929688,631.0057373046875,805667
657.7000122070312,678.2000122070312,656.2000122070312,662.7999877929688,647.1153564453125,819569
644.0,650.7999877929688,637.2999877929688,642.2000122070312,627.0029296875,973942
648.7999877929688,661.5999755859375,636.5,656.2000122070312,640.6715698242188,446598
648.0,653.2000122070312,637.7000122070312,641.4000244140625,626.2218627929688,882238
640.0,652.5,620.2999877929688,626.2000122070312,611.3814697265625,957106
626.5,642.0,617.7000122070312,640.0,624.85498046875,834230
623.0,635.5,617.5,629.2999877929688,614.4082641601562,1166208
620.0,628.5,577.7000122070312,585.0,571.156494140625,1773437
596.7000122070312,596.7999877929688,569.0999755859375,575.5,561.8812255859375,1283438
580.7999877929688,596.7000122070312,580.0999755859375,590.0999755859375,576.1357421875,966271
570.5,598.5,568.4000244140625,582.5999755859375,568.8131713867188,985572
574.2999877929688,578.9000244140625,556.2999877929688,566.0999755859375,552.7036743164062,1277813
587.9000244140625,594.5999755859375,578.5,594.2000122070312,580.1387939453125,1133780
605.0,612.4000244140625,591.7999877929688,600.4000244140625,586.1920776367188,837222
615.0,615.4000244140625,598.0999755859375,598.5,584.3370361328125,660480
601.5999755859375,601.5999755859375,573.7999877929688,573.7999877929688,560.221435546875,807646
572.7000122070312,579.0999755859375,559.7000122070312,564.2000122070312,550.8486938476562,881725
574.9000244140625,578.2000122070312,561.4000244140625,572.5999755859375,559.0499877929688,592597
569.7999877929688,573.0,556.9000244140625,566.5,553.09423828125,663374
576.7000122070312,591.0,575.2999877929688,588.7999877929688,574.8665771484375,812010
598.0,600.5999755859375,571.0,584.0999755859375,570.2777099609375,829813
570.0,579.9000244140625,568.0,569.5,556.0232543945312,722999
551.2000122070312,561.0,540.7000122070312,559.7000122070312,546.4552001953125,1002425
553.7999877929688,576.7999877929688,550.5999755859375,572.9000244140625,559.3427734375,780307
580.2000122070312,584.5999755859375,566.9000244140625,573.9000244140625,560.3192138671875,580041
584.2000122070312,586.7999877929688,574.4000244140625,578.2000122070312,564.5173950195312,666455
577.5999755859375,584.0,566.0,570.4000244140625,556.9019775390625,725735
576.5,579.0,544.9000244140625,550.7999877929688,537.7657470703125,684419
530.5999755859375,574.9000244140625,523.0,564.5,551.1415405273438,1152820
568.0,581.4000244140625,562.0999755859375,564.2999877929688,550.9463500976562,859472
527.0999755859375,562.2000122070312,525.0,558.2000122070312,544.9906616210938,1780520
578.9000244140625,590.0,568.4000244140625,589.0999755859375,575.1594848632812,1240807
571.0,598.9000244140625,566.7999877929688,598.9000244140625,584.7276000976562,1451883
596.7999877929688,597.5999755859375,577.2000122070312,577.2000122070312,563.5409545898438,1086434
574.5,592.7000122070312,570.0,583.2000122070312,569.3989868164062,944662
582.0,592.5999755859375,571.0,573.2999877929688,559.7333374023438,800591
565.2999877929688,575.0,533.5999755859375,533.5999755859375,520.9727172851562,1370878
518.0,568.0999755859375,514.4000244140625,540.5999755859375,527.80712890625,1399868
524.0,555.0999755859375,513.7000122070312,517.0,504.76556396484375,1523567
540.2999877929688,557.0999755859375,526.5999755859375,557.0999755859375,543.9165649414062,1425054
557.7999877929688,560.9000244140625,537.7000122070312,545.4000244140625,532.4935913085938,991442
543.2000122070312,562.4000244140625,533.4000244140625,542.7999877929688,529.955078125,983094
551.0,560.2999877929688,531.7999877929688,534.5,521.8514404296875,1069393
529.0999755859375,544.2000122070312,518.0,540.4000244140625,527.6119384765625,1049666
556.7000122070312,582.4000244140625,555.9000244140625,578.9000244140625,565.2007446289062,1204194
590.4000244140625,591.2000122070312,577.0,584.7000122070312,570.863525390625,988610
592.4000244140625,609.9000244140625,584.5999755859375,609.9000244140625,595.4672241210938,1840461
608.0,618.7999877929688,604.0999755859375,612.7000122070312,598.200927734375,856735
615.0,632.7000122070312,612.0999755859375,627.2000122070312,612.3578491210938,989112
630.0,632.5,604.7999877929688,613.9000244140625,599.3726196289062,856499
612.0999755859375,618.2999877929688,603.7000122070312,615.7000122070312,601.1298828125,746591
621.0,630.9000244140625,610.0999755859375,620.2000122070312,605.5234985351562,815854
619.0999755859375,628.7999877929688,616.5999755859375,622.7000122070312,607.96435546875,673169
632.0,642.0,625.5999755859375,633.0,618.0205688476562,911069
634.7000122070312,634.7000122070312,618.7999877929688,622.2000122070312,607.4761962890625,726653
620.2000122070312,626.2999877929688,610.0,610.0,595.5648193359375,847822
606.0,613.7999877929688,602.2999877929688,606.7000122070312,592.3429565429688,506031
607.4000244140625,619.2000122070312,601.5,617.4000244140625,602.789794921875,561907
619.4000244140625,627.0,595.5,599.2000122070312,585.0203857421875,707436
592.2999877929688,597.0999755859375,565.7999877929688,571.7999877929688,558.2689208984375,856559
577.7000122070312,584.0999755859375,565.4000244140625,567.4000244140625,553.972900390625,770305
582.0,584.5,565.0,569.2999877929688,555.8280029296875,639392
559.4000244140625,565.4000244140625,550.5999755859375,552.2999877929688,539.2302856445312,666548
